ms,x,y
7,432,1027,611
531,154,1026,611
750,308,1025,611
819,929,1024,611
840,142,1023,611
849,934,1022,611
880,148,1021,611
889,773,1020,611
910,442,1018,611
919,807,1017,611
939,844,1016,611
950,278,1014,611
970,174,1013,611
979,822,1011,611
990,313,1010,611
1000,135,1009,611
1010,396,1008,611
1019,994,1006,611
1030,394,1004,611
1039,760,1003,611
1049,957,1001,611
1060,248,1000,611
1070,194,998,611
1080,002,996,611
1090,155,995,611
1100,256,993,611
1120,390,991,611
1130,279,989,611
1150,655,987,611
1160,352,986,611
1170,060,985,611
1180,064,984,611
1200,091,983,611
1209,928,982,611
1221,403,981,611
1230,219,981,612
1240,243,980,612
1260,393,979,612
1290,072,978,612
1310,651,977,612
1330,675,976,612
1380,624,975,612
1420,641,974,612
1471,300,975,612
1510,825,976,612
1520,421,977,612
1530,661,978,612
1550,166,979,612
1560,349,981,612
1570,140,982,612
1580,392,984,612
1591,549,985,612
1600,368,987,612
1610,298,990,612
1620,157,992,612
1630,775,995,612
1639,996,998,612
1650,267,1001,612
1660,448,1005,612
1670,292,1008,612
1680,396,1010,612
1690,819,1013,612
1700,223,1016,612
1710,594,1018,612
1720,715,1020,612
1731,015,1022,612
1740,242,1023,612
1750,679,1024,612
1760,463,1025,612
1770,311,1026,612
1781,961,1028,612
1800,585,1029,612
1810,499,1030,612
1820,323,1031,612
1850,737,1032,612
1860,181,1033,612
1900,332,1034,612
1920,704,1035,612
2231,045,1035,613
3461,454,1036,613
3661,148,1037,613
3872,353,1038,613
4232,148,1038,614
4512,549,1039,614
5012,915,1040,614
5532,069,1041,614
5592,376,1041,615
5802,062,1042,615
6082,498,1043,615
6492,808,1044,615
6732,625,1045,615
7122,885,1045,616
7233,107,1046,616
7362,753,1047,616
7502,952,1048,616
7843,070,1049,616
8023,180,1050,616
8333,568,1051,616
8513,673,1052,616
8693,334,1053,616
9174,160,1054,616
9363,649,1055,616
9673,993,1056,616
9763,901,1057,616
9824,389,1058,616
9954,319,1059,616
10043,892,1060,616
10203,745,1061,616
10303,796,1062,616
10444,185,1063,616
11244,355,1062,616
11444,492,1061,616
11604,300,1060,616
11644,440,1059,616
11684,619,1058,616
11704,325,1057,616
11724,426,1056,616
11754,812,1055,616
11774,270,1054,616
11794,470,1053,616
11814,352,1052,616
11824,370,1051,616
11864,368,1050,616
11874,945,1049,616
11904,680,1048,616
11924,528,1047,616
11955,343,1046,616
12015,865,1045,616
12074,857,1044,616
12204,827,1043,616
12254,738,1042,616
13085,148,1043,616
13316,587,1044,616
13375,526,1045,616
13444,891,1045,617
13485,508,1046,617
13555,526,1047,617
13615,406,1048,617
13705,167,1049,617
13745,203,1050,617
13805,489,1051,617
13825,717,1052,617
13855,482,1053,617
13896,144,1054,617
13905,208,1055,617
13945,708,1056,617
13966,861,1057,617
13975,155,1058,617
14016,246,1059,617
14046,309,1060,617
14105,244,1061,617
14155,887,1062,617
14215,582,1063,617
15886,800,1063,618
18067,315,1063,617
18207,672,1063,616
18258,186,1064,616
18266,908,1064,615
18318,583,1064,614
18477,299,1064,613
18599,195,1064,612
18938,906,1065,612
19667,886,1065,613
20697,999,1064,613
21498,789,1064,614
21869,050,1063,614
22858,970,1063,615
22969,336,1062,615
23759,741,1062,616
24870,207,1061,616
25761,157,1061,617
27861,037,1062,617
28051,158,1062,616
28191,299,1063,616
