ms,x,y
7,305,1322,520
106,747,1321,520
626,970,1321,521
746,794,1322,521
766,464,1323,521
777,006,1324,522
786,406,1325,522
796,558,1327,523
806,604,1327,524
817,321,1329,525
826,517,1331,526
836,541,1332,527
847,195,1334,529
857,572,1336,530
866,286,1337,531
877,381,1337,532
886,641,1337,533
916,729,1336,533
927,371,1334,533
937,253,1331,531
946,606,1326,530
956,599,1314,526
966,537,1282,519
976,717,1225,504
986,457,1160,479
996,619,1092,433
1006,428,1027,375
1016,530,967,318
1026,875,921,274
1036,557,882,240
1047,069,845,214
1057,175,818,196
1067,494,788,181
1076,769,759,167
1086,712,734,156
1097,080,703,147
1106,548,676,139
1116,644,653,134
1126,794,626,129
1136,835,607,126
1146,653,588,123
1156,875,571,120
1166,517,556,119
1176,835,543,118
1186,905,530,116
1196,578,519,116
1208,390,509,116
1217,023,499,117
1226,831,492,117
1236,770,485,118
1246,807,480,119
1256,968,475,120
1266,449,472,121
1277,080,468,123
1286,975,465,125
1296,617,463,127
1306,550,460,129
1316,569,459,133
1326,575,457,137
1337,162,456,143
1347,386,456,151
1356,524,455,160
1366,690,455,171
1377,207,455,183
1386,584,455,197
1396,507,457,210
1406,819,458,223
1416,767,461,237
1426,866,462,247
1437,133,465,259
1446,826,467,268
1456,720,471,275
1466,772,475,283
1477,510,478,289
1487,364,483,293
1497,500,490,298
1506,829,498,302
1516,655,508,304
1527,074,520,308
1536,808,535,311
1546,876,549,312
1556,904,564,315
1566,840,577,317
1577,108,589,318
1586,802,599,319
1597,748,606,319
1606,968,613,319
1616,865,618,319
1628,362,622,318
1636,849,625,317
1646,809,627,315
1657,618,629,313
1666,808,631,312
1676,715,633,309
1687,077,634,306
1697,034,635,302
1706,692,636,298
1716,811,636,293
1726,936,637,288
1737,363,638,281
1747,085,638,276
1756,815,638,270
1766,848,639,267
1777,218,639,263
1786,956,639,260
1796,885,639,258
1807,131,639,256
1816,967,639,254
1836,999,639,252
1847,051,639,251
1866,767,639,250
1887,105,639,249
1916,831,639,248
1937,240,640,248
1957,009,640,247
1977,387,641,247
1997,242,642,246
2027,354,643,246
2427,575,644,246
2457,505,645,246
2466,930,645,247
2487,370,646,248
2497,751,647,248
2507,315,648,248
2518,042,649,248
2527,846,652,249
2537,619,657,249
2547,799,664,249
2557,134,672,250
2567,011,685,250
2577,511,699,252
2587,245,712,252
2596,914,725,252
2607,936,737,252
2617,279,749,252
2627,718,757,253
2637,569,766,253
2647,335,773,253
2658,820,778,253
2667,279,783,253
2677,326,787,253
2687,324,789,253
2697,467,791,253
2707,524,793,253
2717,097,794,253
2727,042,795,253
2737,472,796,252
2787,194,796,251
2807,464,796,250
2817,401,795,250
2827,096,794,250
2837,174,793,250
2847,456,792,250
2858,221,791,250
2867,287,790,249
2878,194,789,249
2887,126,788,249
2907,596,787,249
2917,096,786,249
2947,482,785,249
2967,448,785,248
2977,724,784,248
3238,220,783,248
3517,886,783,249
3588,393,783,250
3597,938,782,250
3617,905,781,250
3637,554,781,251
3647,570,780,251
3657,868,778,251
3667,621,777,251
3677,727,775,251
3687,834,774,251
3697,897,771,252
3707,610,767,252
3717,882,763,252
3727,617,758,253
3738,109,751,253
3747,921,744,255
3757,682,736,255
3767,825,728,255
3778,096,719,256
3787,639,711,256
3797,708,702,257
3807,920,695,257
3817,768,687,258
3828,855,680,258
3838,585,675,258
3847,864,669,259
3857,805,664,259
3867,659,659,259
3878,727,655,259
3887,841,651,259
3898,081,648,259
3908,639,645,259
3917,985,642,259
3928,215,640,259
3938,504,637,259
3947,845,635,259
3957,704,634,259
3967,861,632,259
3978,032,631,259
3987,700,630,259
3997,849,629,259
4007,970,628,258
4018,846,628,257
4027,993,627,257
4037,885,626,257
4047,749,626,256
4058,276,626,255
4068,326,625,254
4098,661,625,253
4107,773,624,252
4138,113,624,251
4147,837,624,250
4157,685,625,250
4178,684,625,249
4187,676,626,249
4197,789,627,249
4218,257,628,249
4227,930,629,249
4237,764,630,249
4247,884,631,249
4258,329,632,249
4277,898,633,249
4287,983,634,249
4308,218,635,249
4389,022,634,249
4418,504,633,249
4508,072,632,249
4658,707,631,249
4718,818,631,250
4978,924,631,251
5099,783,631,252
5118,680,631,253
5128,410,632,253
5148,211,634,254
5158,632,637,255
5168,581,639,256
5178,305,645,257
5188,245,650,258
5198,103,659,261
5208,145,669,262
5218,499,681,265
5228,052,693,267
5238,308,702,268
5248,397,712,271
5258,459,721,272
5268,308,729,274
5279,026,736,275
5288,180,743,275
5298,269,750,276
5308,444,755,276
5318,620,759,277
5328,093,764,277
5338,831,767,277
5348,342,771,277
5358,456,774,277
5369,038,777,277
5378,811,780,277
5388,419,782,276
5398,869,785,275
5408,624,787,274
5419,529,790,273
5428,928,791,272
5438,947,793,272
5448,449,794,271
5458,661,795,270
5468,682,796,268
5488,424,797,266
5498,959,798,265
5508,292,798,264
5518,712,798,263
5528,449,798,262
5538,403,798,261
5548,461,798,260
5558,701,798,259
5568,604,798,258
5579,041,798,257
5619,305,798,256
5899,166,797,256
6228,500,798,256
6368,896,798,257
6428,964,798,258
6468,833,798,259
6479,058,798,260
6488,863,798,261
6498,967,798,262
6508,708,797,265
6518,854,796,266
6528,709,795,269
6539,031,794,273
6548,691,793,276
6558,540,790,278
6568,729,785,283
6579,348,781,286
6588,602,773,290
6598,671,766,294
6608,888,756,296
6618,695,745,299
6628,635,735,301
6638,743,725,304
6648,673,714,305
6659,130,706,306
6668,852,697,308
6678,583,687,308
6688,656,680,308
6698,889,674,308
6708,858,667,308
6719,074,661,308
6728,930,658,307
6738,905,652,306
6749,026,649,304
6758,911,646,303
6769,170,641,301
6779,154,640,300
6789,300,637,298
6799,132,634,295
6808,892,632,293
6819,289,630,291
6829,179,630,289
6838,814,629,286
6848,790,627,283
6859,423,626,281
6869,103,626,279
6879,671,625,277
6888,980,624,274
6898,818,624,273
6909,027,624,271
6919,185,624,270
6928,852,624,268
6939,020,624,267
6949,072,624,266
6958,769,625,265
6968,947,625,264
6989,374,626,263
6998,994,627,262
7009,233,627,261
7029,017,628,261
7039,009,629,260
7049,311,630,259
7079,665,631,259
7088,931,631,258
7100,606,632,258
7109,012,632,257
7129,130,632,256
7139,159,633,256
7189,436,633,255
7779,835,633,256
7821,136,634,256
7850,270,635,257
7869,569,636,257
7879,962,637,258
7889,388,638,258
7899,332,641,259
7909,336,644,259
7919,833,647,260
7929,509,651,261
7940,041,657,262
7949,359,662,265
7960,423,670,268
7969,542,676,272
7979,613,683,276
7989,799,688,280
7999,547,694,285
8009,445,698,291
8020,223,703,297
8029,374,707,303
8039,357,711,309
8049,384,716,315
8059,587,721,319
8069,285,725,324
8079,326,729,328
8089,539,733,331
8099,328,737,333
8109,238,740,335
8119,359,744,337
8130,591,747,338
8139,457,749,338
8149,330,753,338
8160,233,756,338
8169,237,759,338
8179,514,762,337
8189,435,765,336
8199,263,769,335
8209,176,772,334
8219,642,774,332
8229,323,777,329
8240,392,782,326
8249,433,785,321
8259,799,787,317
8269,250,790,313
8279,692,794,307
8289,365,796,300
8299,796,798,294
8309,662,799,289
8319,854,801,283
8329,472,802,278
8339,874,803,274
8349,560,803,270
8359,469,803,268
8369,635,803,265
8381,107,803,263
8389,567,803,262
8399,604,803,260
8409,938,803,258
8429,583,803,257
8439,602,803,256
8449,400,802,256
8469,731,802,255
8479,512,802,254
8500,189,802,253
8559,695,802,252
8599,705,802,251
8700,263,802,252
8789,924,802,253
8869,819,802,254
9001,001,802,255
9200,944,802,256
9240,129,802,257
9270,840,802,258
9280,049,802,259
9289,730,802,260
9300,400,802,262
9309,987,801,264
9319,888,801,266
9330,022,801,269
9339,968,800,273
9349,986,799,277
9360,223,799,280
9369,917,797,283
9379,991,796,286
9389,991,795,289
9401,037,792,291
9410,016,788,293
9421,318,784,294
9430,137,777,295
9440,059,768,296
9450,205,758,297
9460,252,746,297
9469,671,735,299
9480,235,723,299
9489,910,711,299
9500,060,701,299
9510,207,693,299
9519,907,684,298
9530,924,677,298
9540,275,672,298
9550,143,665,297
9560,400,662,297
9569,915,658,296
9580,108,655,295
9589,962,651,294
9599,942,650,294
9610,063,647,293
9620,257,645,292
9630,014,643,291
9640,865,642,290
9649,807,641,289
9660,256,639,288
9670,138,638,286
9679,925,638,285
9689,935,637,284
9701,578,636,282
9709,992,635,280
9720,751,635,279
9732,076,634,277
9740,308,634,274
9750,169,634,273
9760,068,633,271
9769,880,633,269
9780,197,632,267
9790,207,632,265
9800,902,632,263
9810,050,632,262
9820,161,631,261
9830,306,631,259
9850,045,631,257
9870,165,630,256
9880,143,630,254
9910,140,630,253
9920,424,630,252
9940,367,630,251
10510,635,630,252
10641,331,630,253
10700,997,630,254
10711,516,630,255
10730,468,630,256
10740,696,630,258
10750,568,630,259
10760,580,630,262
10770,688,630,266
10780,927,631,268
10790,629,631,272
10800,783,632,276
10810,544,633,280
10822,135,635,284
10830,717,638,288
10840,595,643,292
10850,811,648,295
10860,942,657,298
10870,625,669,300
10880,504,681,302
10891,002,694,303
10901,219,709,304
10910,558,723,306
10920,744,736,307
10930,539,746,307
10940,922,758,307
10950,464,766,307
10960,989,776,307
10970,400,783,307
10980,709,790,307
10990,750,796,306
11000,616,799,305
11010,469,803,304
11020,840,806,303
11030,663,809,302
11040,581,812,301
11051,001,813,300
11060,603,815,298
11072,177,816,297
11080,863,817,296
11090,801,817,294
11101,150,818,293
11110,632,819,290
11120,608,819,287
11130,679,819,286
11141,327,819,283
11150,735,819,279
11160,534,819,278
11170,624,819,275
11180,719,818,272
11190,489,818,271
11200,904,817,268
11210,669,817,266
11221,686,816,265
