ms,x,y
7,384,936,750
11,917,957,749
22,789,984,749
35,883,1012,747
41,421,1036,747
51,266,1058,745
61,536,1074,745
71,723,1091,745
81,248,1104,744
91,372,1118,744
101,695,1131,743
111,769,1143,743
121,194,1155,741
131,421,1166,741
141,298,1178,741
151,643,1190,740
161,829,1201,740
171,295,1213,739
181,331,1225,739
191,873,1237,738
201,588,1248,738
211,463,1260,736
222,159,1272,736
231,628,1282,736
241,293,1294,735
251,658,1304,735
261,507,1314,734
272,460,1324,734
281,493,1334,734
291,528,1344,732
301,359,1353,732
311,819,1361,731
321,539,1368,731
332,136,1375,731
341,338,1380,730
351,762,1385,730
361,754,1388,729
371,396,1391,729
381,529,1392,729
391,693,1393,728
401,839,1394,728
421,758,1394,727
431,780,1393,726
441,376,1392,725
451,535,1390,725
461,409,1387,724
471,852,1385,723
481,275,1381,722
492,603,1374,721
501,630,1364,719
511,901,1345,718
521,530,1312,716
531,808,1258,716
541,544,1203,714
551,755,1158,712
561,643,1118,712
571,449,1083,710
581,523,1052,710
591,849,1025,710
601,699,994,710
611,460,963,710
621,573,933,710
631,925,899,710
641,448,865,710
651,662,834,710
662,422,802,711
671,735,774,713
681,722,746,714
692,262,718,716
701,460,686,720
711,935,657,723
721,714,624,729
731,420,590,739
741,727,555,751
752,094,523,766
761,463,491,782
771,646,461,798
781,699,431,816
791,811,402,829
801,509,379,841
811,574,353,854
821,627,331,865
831,861,313,872
841,627,291,881
851,688,270,887
861,666,255,893
871,907,238,897
882,811,224,902
891,641,211,908
901,610,198,913
912,033,188,919
921,676,177,923
931,471,168,928
941,734,161,933
951,685,153,938
961,668,146,941
971,751,140,946
981,557,135,950
991,837,130,953
1001,598,125,956
1011,452,121,960
1021,531,118,961
1031,960,114,963
1041,609,111,965
1051,582,110,966
1061,834,108,968
1072,594,106,968
1081,509,104,969
1102,154,103,969
1112,006,103,970
1181,599,104,970
1192,388,105,970
1201,756,106,970
1212,600,107,970
1221,920,109,969
1231,989,111,967
1242,299,113,965
1251,920,116,964
1261,826,119,961
1272,153,123,958
1281,677,129,953
1291,878,136,947
1301,753,142,942
1312,204,148,936
1321,957,152,932
1331,733,157,929
1341,946,159,926
1354,522,161,925
1361,888,162,923
1371,803,163,923
1381,733,163,922
1441,806,161,922
1451,774,161,923
1461,928,159,923
1472,474,158,924
1481,632,157,924
1492,305,155,924
1502,085,154,925
1512,063,151,925
1521,828,148,926
1531,859,145,927
1541,711,143,928
1552,330,139,929
1561,916,135,930
1572,113,131,932
1581,988,127,933
1591,932,123,935
1601,875,117,936
1611,957,113,938
1621,882,109,939
1633,571,107,941
1641,888,104,943
1651,719,101,944
1662,027,100,946
1672,081,99,946
1681,843,99,947
1691,989,98,948
1712,573,98,949
1731,944,98,950
1742,529,99,950
1752,544,101,950
1762,214,102,950
1772,462,104,949
1781,776,107,947
1792,321,112,945
1801,775,121,941
1812,402,144,928
1821,895,203,880
1832,480,282,809
1842,018,375,724
1851,970,474,637
1862,008,576,548
1872,363,678,466
1882,188,777,393
1892,154,874,335
1902,016,967,288
1913,593,1053,251
1921,988,1138,221
1931,939,1212,198
1942,413,1283,181
1952,390,1343,166
1961,969,1394,155
1972,529,1434,144
1981,727,1468,136
1992,299,1497,131
2002,323,1523,127
2011,854,1545,124
2021,898,1567,123
2032,589,1588,121
2042,231,1606,120
2052,672,1625,120
2062,008,1641,120
2072,497,1656,120
2082,631,1671,121
2092,196,1683,123
2101,916,1693,124
2112,444,1703,125
2122,180,1712,128
2131,984,1721,129
2142,057,1730,131
2152,483,1737,134
2162,161,1744,136
2171,915,1750,138
2181,881,1755,141
2192,999,1760,144
2201,824,1764,147
2211,880,1767,149
2222,496,1770,151
2232,172,1771,153
2242,045,1773,154
2252,071,1774,154
2261,977,1775,154
2283,365,1776,154
2291,879,1777,154
2312,155,1778,154
2322,171,1779,153
2333,027,1780,152
2342,075,1780,151
2352,293,1781,150
2362,455,1782,149
2372,153,1783,148
2382,406,1783,147
2393,079,1784,147
2401,980,1786,145
2412,269,1786,144
2422,198,1787,144
2432,308,1788,143
2442,252,1788,142
2452,314,1790,142
2461,998,1791,141
2482,077,1792,141
2492,315,1793,140
2502,334,1793,139
2522,421,1794,139
2542,281,1795,138
2572,521,1795,137
2632,728,1794,137
2652,316,1792,137
2673,045,1790,137
2682,309,1787,137
2692,586,1782,138
2702,227,1770,138
2712,384,1752,139
2722,131,1711,143
2732,084,1650,148
2742,292,1580,158
2752,282,1503,176
2762,598,1421,207
2773,076,1337,262
2782,165,1248,331
2792,674,1160,403
2802,538,1068,475
2812,416,983,535
2822,177,896,593
2832,772,812,639
2842,233,733,678
2852,172,653,713
2862,561,581,744
2872,387,510,769
2882,921,451,794
2892,362,402,812
2902,298,364,829
2912,328,328,844
2922,318,300,855
2933,091,278,866
2942,233,256,874
2952,787,238,882
2962,574,222,887
2972,324,207,893
2982,295,192,897
2992,523,178,900
3003,180,165,904
3012,166,153,906
3022,406,142,908
3032,474,134,909
3042,331,125,911
3052,446,120,911
3062,326,115,911
3072,375,112,912
3082,516,109,912
3092,250,108,912
3102,438,107,912
3112,554,106,912
3173,241,106,913
3192,830,107,914
3222,788,107,915
3232,561,107,916
3242,492,107,917
3252,740,108,918
3262,546,108,919
3272,919,109,921
3282,581,109,923
3292,570,109,925
3302,475,109,928
3313,153,109,931
3322,750,109,934
3332,567,109,936
3342,768,109,939
3353,341,109,940
3362,346,109,942
3372,503,109,943
3402,443,109,944
3412,716,110,944
3432,860,110,945
3462,582,111,945
3482,957,112,945
3492,542,113,945
3522,539,115,945
3542,725,117,945
3552,960,120,944
3562,844,125,943
3572,678,134,941
3582,563,158,934
3592,941,209,918
3602,922,277,874
3613,079,356,803
3622,707,439,723
3633,105,525,642
3642,563,611,562
3652,587,693,490
3662,653,775,428
3673,581,856,376
3682,533,939,334
3692,661,1015,300
3702,478,1093,268
3713,186,1165,242
3722,770,1232,225
3733,154,1293,208
3742,985,1348,191
3753,166,1391,181
3762,946,1432,170
3772,911,1466,160
3782,814,1499,152
3793,657,1529,146
3802,838,1555,141
3812,950,1581,138
3822,723,1603,135
3832,773,1620,133
3843,136,1636,133
3852,898,1651,133
3862,864,1665,133
3873,095,1678,133
3883,098,1688,133
3893,532,1700,133
3902,834,1708,135
3913,369,1718,135
3922,762,1725,136
3933,283,1732,137
3943,178,1739,137
3952,760,1744,137
3962,570,1750,138
3972,770,1755,138
3982,855,1759,138
3992,723,1764,138
4003,058,1768,138
4012,823,1771,138
4022,880,1774,137
4033,308,1778,137
4043,128,1782,136
4052,878,1784,136
4063,251,1787,135
4072,859,1790,134
4082,904,1792,134
4092,594,1794,134
4102,757,1796,133
4112,825,1798,133
4133,067,1800,132
4172,788,1801,132
4222,745,1800,132
4243,053,1799,132
4263,688,1798,132
4283,192,1797,132
4303,029,1796,132
4313,395,1795,132
4322,981,1794,132
4343,800,1792,132
4353,315,1791,132
4362,916,1789,132
4373,202,1785,132
4383,121,1780,132
4393,376,1768,133
4403,047,1750,133
4413,157,1713,133
4422,972,1661,135
4433,287,1600,138
4443,997,1546,138
4452,770,1497,142
4462,667,1456,144
4473,106,1416,150
4482,996,1383,156
4492,799,1346,166
4502,944,1305,179
4513,249,1263,195
4523,799,1215,213
4533,206,1171,226
4544,085,1126,242
4553,315,1086,253
4563,267,1049,261
4573,257,1016,269
4583,240,989,274
4593,524,967,277
4603,205,950,280
4613,394,935,281
4622,970,923,283
4633,450,911,284
4642,851,901,285
4653,531,893,286
4663,003,886,286
4673,418,881,286
4683,503,875,287
4693,020,870,287
4703,070,866,287
4713,595,863,287
4723,392,860,287
4732,923,857,287
4743,279,855,287
4753,734,852,287
4763,720,850,288
4773,018,849,288
4783,359,847,288
4794,686,845,289
4813,328,844,290
4823,479,843,291
4833,432,842,292
4843,066,842,294
4853,596,841,297
4863,224,841,302
4873,438,841,312
4883,297,842,328
4893,191,843,354
4903,138,845,385
4913,700,847,410
4923,116,848,428
4933,218,851,442
4943,411,854,454
4953,286,857,461
4963,201,861,469
4973,603,866,475
4983,393,872,478
4993,354,879,482
5004,119,890,486
5013,293,901,487
5023,265,917,490
5033,742,931,490
5043,095,948,491
5053,410,961,491
5063,414,973,493
5074,183,983,493
5083,205,990,492
5093,190,994,492
5103,555,997,492
5113,560,998,492
5123,067,999,492
5143,600,1000,492
5173,456,999,492
5203,363,998,492
5223,158,997,493
5243,501,996,493
5283,726,995,493
5303,629,994,493
5333,518,994,494
5363,853,993,494
5423,822,992,494
5493,537,991,494
5553,760,990,494
5583,898,989,494
5635,767,988,494
5663,665,987,494
5703,746,986,494
5833,865,985,494
5893,682,984,494
6144,167,985,494
6235,313,986,494
6304,171,987,494
6314,139,987,493
6454,145,987,492
6474,067,987,491
6483,869,987,489
6495,140,987,486
6503,754,987,480
6513,868,987,472
6525,404,988,460
6533,818,988,449
6543,892,990,437
6553,957,991,425
6563,834,992,413
6573,767,995,403
6584,370,997,394
6594,223,1001,384
6603,655,1007,374
6614,223,1010,366
6623,924,1017,356
6633,927,1022,347
6644,146,1029,338
6653,758,1035,330
6664,105,1040,321
6674,475,1045,314
6683,996,1050,308
